id,entityid1,entityid2,entity1,entity2,relation,sentence,end
0,Q1179,Q17009,Aquitaine,Poitou,other,"Agnes of Poitou was a daughter of William V , Duke of Aquitaine and his third wife Agnes of Burgundy .",###END###
1,Q17009,Q1179,Poitou,Aquitaine,other,"Agnes of Poitou was a daughter of William V , Duke of Aquitaine and his third wife Agnes of Burgundy .",###END###
2,Q602293,Q30,Ryder Cup,the United State,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
3,Q854376,Q30,Ryder Cup,the United State,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
4,Q35014,Q2480,1970,1976,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
5,Q5229936,Q30,Dave Stockton,the United State,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
6,Q1173357,Q30,Dave Stockton,the United State,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
7,Q2480,Q35014,1976,1970,other,"His father , Dave Stockton , won the PGA Championship in 1970 and 1976 and was also the United States Ryder Cup captain in 1991 .",###END###
8,Q362,Q159,second,Russian,other,"The second collection , "" In Boundlessness "" ( В безбрежности , 1895 ) saw Balmont starting to experiment with the Russian language 's musical and rhythmical structures .",###END###
9,Q314498,Q7737,Balmont,Russian,other,"The second collection , "" In Boundlessness "" ( В безбрежности , 1895 ) saw Balmont starting to experiment with the Russian language 's musical and rhythmical structures .",###END###
10,Q19317,Q1477177,World Cup,1934,other,"He played for Újpest FC , most famous for playing for the Hungarian national team in the 1934 World Cup .",###END###
11,Q1477177,Q19317,1934,World Cup,other,"He played for Újpest FC , most famous for playing for the Hungarian national team in the 1934 World Cup .",###END###
12,Q157978,Q7091,Galois,Évariste Galois,other,"In mathematics , more specifically in abstract algebra , Galois theory , named after Évariste Galois , provides a connection between field theory and group theory .",###END###
13,Q7091,Q92552,Évariste Galois,Galois,other,"In mathematics , more specifically in abstract algebra , Galois theory , named after Évariste Galois , provides a connection between field theory and group theory .",###END###
14,Q157978,Q7091,Galois,Évariste Galois,other,"Within its family , it belongs to the subfamily Gracillariinae .",###END###
15,Q7091,Q92552,Évariste Galois,Galois,other,"Within its family , it belongs to the subfamily Gracillariinae .",###END###
16,Q502,Q121842,Stendhal,French,other,"The Charterhouse of Parma ( , ) is a 1948 French - Italian drama film based on the novel of the same name by Stendhal .",###END###
17,Q502,Q150,Stendhal,French,other,"The Charterhouse of Parma ( , ) is a 1948 French - Italian drama film based on the novel of the same name by Stendhal .",###END###
18,Q80761,Q15789,Dante,Bayern,other,"With Dante at the heart the defence , Bayern broke records for fewest goals conceded and most clean sheets in a Bundesliga season during their treble - winning campaign .",###END###
19,Q80761,Q82595,Dante,Bundesliga,other,"With Dante at the heart the defence , Bayern broke records for fewest goals conceded and most clean sheets in a Bundesliga season during their treble - winning campaign .",###END###
